monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,monthly_closed_PRs_2mo
27,3,1,0,1,1,0,0,1,0,5,7,0,0
4,2,1,0,1,1,0,0,1,0,14,6,5,0
12,2,0,0,0,0,0,0,1,1,32,14,1,1
0,0,0,0,0,0,0,0,2,5,29,14,0,0
3,2,2,1,1,1,2,0,6,10,42,21,1,1
3,1,0,0,0,0,0,0,6,12,43,17,2,0
2,1,1,1,0,0,0,0,8,14,51,12,1,1
12,2,0,0,0,0,0,0,0,0,46,18,2,0
4,2,5,1,3,1,3,0,10,14,49,15,2,1
3,3,2,0,2,1,0,0,9,23,59,24,0,1
4,3,3,1,3,1,13,0,7,19,63,30,0,0
2,2,3,1,2,1,2,0,9,10,55,17,1,0
0,0,0,0,0,0,0,0,6,9,57,19,1,3
8,3,3,0,1,1,15,1,6,19,47,18,4,0
73,2,1,3,0,0,5,1,5,7,41,17,1,1
34,2,0,0,0,0,0,0,2,9,41,22,1,1
1,1,1,1,0,0,0,0,6,9,59,24,0,0
5,4,3,1,2,1,0,0,10,32,33,15,0,3
1,1,1,0,0,0,1,0,4,6,41,21,0,0
1,1,4,3,1,1,4,0,8,6,37,12,4,0
1,1,0,0,0,0,0,0,2,7,31,16,1,0
0,0,0,0,0,0,0,1,0,0,38,13,0,0
0,0,1,0,0,0,0,2,0,3,39,11,0,0
7,3,0,0,1,1,0,0,7,13,40,21,0,0
0,0,0,0,0,0,0,1,0,0,40,11,0,0
0,0,0,0,0,0,0,0,0,0,24,17,1,0
0,0,0,0,0,0,0,1,0,1,27,12,3,1
0,0,0,0,0,0,0,0,0,0,20,17,0,0
0,0,0,1,0,0,1,0,1,1,15,14,1,0
0,0,0,0,0,0,0,0,0,0,21,11,1,0
0,0,1,0,0,0,0,1,0,0,24,12,0,0
0,0,0,0,0,0,0,0,0,0,14,6,0,0
1,1,0,0,1,1,0,0,1,0,20,11,0,0
0,0,0,0,0,0,0,0,0,0,12,5,0,0
0,0,1,0,0,0,0,1,0,0,22,7,1,0
0,0,0,0,0,0,0,1,0,1,16,6,0,0
0,0,0,0,0,0,0,0,0,0,20,8,2,0
